,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
0,北京拉勾网络技术有限公司,北京,500-2000人,企业服务,资深数据分析师,2020-04-05 20:14:49,20k-35k,3-5年,本科,1、,"深入业务，了解业务痛点，为业务线建立数据支持体系，通过数据为业务优化提供效果评估及数据决策支持；
2、用户模型"
1,北京拉勾网络技术有限公司,北京,500-2000人,企业服务,资深数据分析师,2020-04-05 20:14:49,20k-35k,3-5年,本科,1、,"深入业务，了解业务痛点，为业务线建立数据支持体系，通过数据为业务优化提供效果评估及数据决策支持；
2、用户模型"
2,北京字节跳动科技有限公司,北京,2000人以上,文娱丨内容,资深数据分析师,2020-04-05 19:53:16,15k-25k,3-5年,本科,"1、负责分析抖音、今日头条、西瓜视频、TikTok等字节跳动旗下国内外核心业务数据分析工作；
2、根据用户行为数据进行增长相关分析，搭建指标体系，建立增长分析模型，建设并迭代报表体系；
3、与产品、运营、研发等紧密配合，推进落地带来业务提升；
4、独立完成专项分析，从数据处理分析、数据指标设计到方案评估的工作闭环。

","1、本科及以上学历，数学、统计学、计算机相关专业优先；
2、熟练使用Hive，精通SQL/Excel/Python/R等工具；
3、具备结构化思维，较强学习能力和创造力，有用户同理心以及数据敏感度；
4、对统计学有较深的理解，有 Growth Hacking、AB 实验、数据建模经验者优先。"
3,北京字节跳动科技有限公司,北京,2000人以上,文娱丨内容,数据分析师（高级/资深）,2020-04-05 19:53:22,15k-30k,1-3年,本科,"1、基于用户增长与渠道推广，建立为团队提供反映产品和运营状况的分析模型；
2、持续跟踪业务数据，监测业务发展态势，为业务指标异常提供预警、监测和解读；
3、深入理解产品细节，推动基于对照试验的产品和策略迭代；
4、与产品，渠道，研发等配合。推进优化方案落地执行，带来业务的实际提升增长；
5、结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。

","1、计算机/统计学/数学等相关专业统招本科及以上学历，在用户增长/产品优化/商业分析方向上具有3年以上相关经验者优先；
2、对数据敏感，逻辑严谨，结构化思维，工作自驱，擅长沟通；
3、有互联网或咨询从业经验，对互联网产品兴趣浓厚，深入理解业务逻辑；
4、熟练使用SQL/excel/Python/Tableau等数据分析和统计分析工具。"
4,北京字节跳动科技有限公司,北京,2000人以上,文娱丨内容,资深数据分析师,2020-04-05 17:58:46,20k-40k,3-5年,本科,"1、深入理解短视频业态，结合定性、定量的分析方法解决用户、市场及产品战略相关的问题。深入业务和行业，可以独立完成策略设计、数据处理与分析、方案评估的工作闭环；
2、为管理层搭建短视频的管理指标体系，对核心业务进行拆解；
3、自主对内外部数据进行分析，挖掘影响业务增长的核心因素，制定优化策略并协同推进落地；
4、能够从宏观视角对业务进行解读。
","1、3年以上数据分析经验，可以适应互联网行业快速敏捷的工作节奏；
2、很强的好奇心、钻研精神、数据敏感性及逻辑思维能力；
3、熟悉Hive SQL，熟悉Python/R等分析工具，有较强的快速学习能力并能指导团队；
4、对统计学有较深的理解，有增长、AB 实验、数据建模经验者优先；
5、有互联网公司数据分析，商业分析，策略经理等经验者优先；
6、有团队管理经验者优先。"
5,北京思维造物信息科技有限公司,北京,150-500人,"移动互联网,文娱丨内容",数据分析师,2020-04-05 20:48:59,30k-50k,5-10年,本科,,
6,探探科技（北京）有限公司,北京,150-500人,"移动互联网,社交",高级数据分析师,2020-04-05 18:25:06,25k-45k,3-5年,本科,"1、整体负责探探下产品业务线的各项数据分析相关工作
2、协助构建新的数据分析团队及公司的数据驱动文化
3、对互联网某几项领域有深入的了解，能从行业趋势和产品形态等角度，给商业预测模型
4、全面分析各项影响产品提升与增长的因素，通过假设及检验指导用户增长和产品决策
5、与产品，运营，研发等配合。推进优化方案落地执行，带来业务的实际提升增长

","1、计算机、数学、统计相关专业，本科及以上学历；
2、熟练掌握mysql、hdfs/hive/数据库使用，较强的数据库及SQL能力，熟悉中间表的开发。掌握Tableau可视化工具优先，熟悉常用的统计模型
3、热爱数据分析，有严谨的逻辑思维能力及较强数据敏感性
4、执行力强，有较强的自驱及驱动他人的能力，工作认真、负责，有良好的团队合作精神"
7,北京奇艺世纪科技有限公司,北京,2000人以上,文娱丨内容,资深数据分析师,2020-04-05 14:59:44,20k-40k,5-10年,本科,1、基于业务逻辑，建立业务数据模型与指标体系，持续跟踪业务指标及数据，监测业务发展态势。 2、具有良好的用户行为或运营数据分析能力，对业务情况进行日常分析及专题分析，能独立完成渠道和商业化数据分析，为业务发展提供预警、监测及策略参考。3、组织业务线预算的编制工作，月度的滚动预测，预实对比分析以及预算执行反馈管理。负责业务线结算数据的确认及结算流程，全面梳理结算流程，提高管理效率。4、良好的项目统筹能力，能够协同产品、技术完成数据系统对接、报表搭建等项目的落地及后期维护。5、与运营、商务、会员等部门保持长期良好沟通，紧密跟踪业务数据变化，把控运营、财务风险，配合相关部门提供各项数据分析支持。,"1、统计、数学、经济等相关专业本科以上学历，具有3年以上互联网数据分析工作经验，视频行业数据分析背景优先。2、熟悉视频行业及财务相关专业词汇，并具有良好的沟通能力。3、较强的成本管理、风险控制和数据分析能力，逻辑清晰。4、较强的excel、PPT使用能力，会SQL、R、SPSS等数据工具优先。5、具有自我驱动力，能够独立开展工作并推动业务发展，具备良好的执行力。6、逻辑思维严谨、性格开朗、工作积极主动，责任心强。

温馨提醒"
8,掌阅科技股份有限公司,北京,500-2000人,文娱丨内容,数据分析实习生,2020-04-05 20:11:32,3k-4k,不限,本科,"1、协助分析师完成相关业务的数据分析，并推动交付； 2、协助分析相关业务的运营情况，参与制定相应策略； 3、 与运营、市场、产品、技术等团队协调合作，推进策略的落地执行。 
",1、本科及以上学历，在校期间有互联网/数据分析相关背景者优先；2、有好奇心，对互联网、内容行业有强烈兴趣； 3、较强的逻辑分析、数据分析与快速学习能力； 4、沟通能力强，能快速地理解各方诉求，并有效传达数据建议。5、每周工作不少于4天，实习期 6个月以上。
9,乐元素科技（北京）股份有限公司,北京,500-2000人,"移动互联网,游戏",资深数据分析师,2020-04-05 13:53:04,20k-35k,3-5年,硕士,"1、负责产品相关的数据需求；项目数据收集和分析流程，精准提炼数据和分析，形成结论，制作出数据分析报告。2、进行游戏内容,功能的统计分析,优化运营活动以及游戏产品,并形成方案落地，及效果追踪、功能的优化迭代；3、监控游戏日常指标,定位游戏问题,及时反馈；完善产品数据的异常预警，保证产品异常**时间发现并预警。4、数据业务分析模型及分析平台的设计和搭建，使数据分析例行平台化，推动产品的数据化运营，并根据分析提出产品优化建议。","1、手游经验两年以上或互联网行业三年以上；2、熟悉游戏业务, 精通游戏数据逻辑；熟悉游戏分析的相关指标体系，有自己的深入见解；3. 熟练使用Excel、SQL语句且工作曾使用过Hadoop \ Hive \ presto \ SQL server\ MySQL等中的至少一种。有hadoop、bash使用经验优先；4、资深游戏玩家或者热爱游戏行业优先。"
10,掌阅科技股份有限公司,北京,500-2000人,文娱丨内容,数据分析专家,2020-04-05 20:11:32,20k-40k,3-5年,不限,1.统筹数据分析项目，设计数据项目推进流程，能够跨部门协作沟通，提出分析观点并推动落地2.深入业务，理解业务运作逻辑，利用数据分析手段，发现业务增长点并提出行动建议；3.全面分析各项影响产品提升与增长的因素，各项业务细节，结合业务方向，给出可落地的整体的产品优化方案；4.结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。,1.3-5年数据分析经验，互联网背景；2. 具有较强结构化思维、逻辑思维能力，对数据敏感，具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断；3. 创新能力强，面对业务上各种新问题，能创造性的发明新的分析优化方案者优先；4.有用户或内容类分析项目参与经验者优先。
11,瑞庭网络技术（上海）有限公司,北京,500-2000人,移动互联网,高级数据分析师(J12284),2020-04-05 19:59:23,20k-30k,3-5年,本科,,
12,北京奇艺世纪科技有限公司,北京,2000人以上,文娱丨内容,数据分析师,2020-04-05 14:59:44,19k-38k,5-10年,本科,1、基于业务逻辑，建立业务数据模型与指标体系，持续跟踪业务指标及数据，监测业务发展态势。 2、具有良好的用户行为或运营数据分析能力，对业务情况进行日常分析及专题分析，能独立完成渠道和商业化数据分析，为业务发展提供预警、监测及策略参考。3、组织业务线预算的编制工作，月度的滚动预测，预实对比分析以及预算执行反馈管理。负责业务线结算数据的确认及结算流程，全面梳理结算流程，提高管理效率。4、良好的项目统筹能力，能够协同产品、技术完成数据系统对接、报表搭建等项目的落地及后期维护。5、与运营、商务、会员等部门保持长期良好沟通，紧密跟踪业务数据变化，把控运营、财务风险，配合相关部门提供各项数据分析支持。,"1、统计、数学、经济等相关专业本科以上学历，具有5年以上互联网数据分析工作经验，视频行业数据分析背景优先。2、熟悉视频行业及财务相关专业词汇，并具有良好的沟通能力。3、较强的成本管理、风险控制和数据分析能力，逻辑清晰。4、较强的excel、PPT使用能力，会SQL、R、SPSS等数据工具优先。5、具有自我驱动力，能够独立开展工作并推动业务发展，具备良好的执行力。6、逻辑思维严谨、性格开朗、工作积极主动，责任心强。
温馨提醒"
13,新浪网技术（中国）有限公司,北京,2000人以上,文娱丨内容,数据分析实习生,2020-04-05 15:36:24,2k-3k,应届毕业生,本科,1、熟练掌握计算机各类常用,"Python、SQL、Linux等；
2、数学、金融、金工、统计背景优先；
3、数据分析、建模、投资组合经验优先；
4、Python、CFA候选人优先；
5、英语阅读、口语有一定要求。"
14,北京小米科技有限责任公司,北京,2000人以上,硬件,大数据开发工程师,2020-04-05 20:04:55,20k-40k,3-5年,本科,"负责广告平台数据的设计与实现；
负责业务数据平台相关数据的存储、查询、挖掘等的功能开发；

","1、计算机、数学相关专业本科及以上学历，4年以上互联网研发工作经验
2、具有扎实的计算机科学功底，扎实的编程基础和数据结构算法基础，良好的工程素养，极强的问题解决能力
3、精通Unix/Linux操作系统下Java或Scala开发，有良好的编码习惯，有扎实的计算机理论基础
4、有基于hadoop体系的数据仓库开发经验，了解 Hive，Hbase，Spark等大数据处理工具和技术，有较强的调优能力
5、对数据敏感，有较强的逻辑分析能力，对大数据处理和分析技术有丰富的经验和强烈热情
6、善于交流，有良好的团队合作精神和协调沟通能力"
15,奇虎360科技有限公司,北京,2000人以上,信息安全,数据分析专家,2020-04-05 11:35:13,20k-30k,5-10年,本科,,
16,玖富数科科技集团有限责任公司,北京,2000人以上,金融,资深数据分析师 (MJ000244),2020-04-05 15:20:39,20k-30k,5-10年,本科,,
17,志诺维思（北京）基因科技有限公司,北京,50-150人,"医疗丨健康,数据服务",数据分析师,2020-04-05 11:17:40,10k-20k,不限,本科,,
18,竞技世界（北京）网络技术有限公司,北京,500-2000人,"移动互联网,游戏",数据分析师,2020-04-05 15:13:19,10k-15k,应届毕业生,本科,"1、支持多个合作方平台的赛事直播运营、影响及活动的数据分析类工作； 
2、直播赛事相关数据入库、维护、清理等工作；
3、构建赛事及相关数据指标体系，用于监控整体赛事、进行效果评估，为运营和营销策略提供数据支撑；
4、研究各算法平台推荐策略，提升赛事直播观看流量。

","1、计算机/数学/统计学等相关专业本科及以上学历，硕士优先；
2、有机器学习/模式识别/数据挖掘的理论基础，接触过推荐/广告/搜索系统、算法和项目的优先； 
3、掌握算法推荐系统的基本原理，了解**算法平台的推荐策略，对算法平台产品的架构、流量入口布局有一定的知识积累； 
4、优秀的逻辑思维能力、数据分析能力，有较强的沟通能力。"
19,北京易观智库网络科技有限公司,北京,150-500人,"移动互联网,数据服务",数据分析实习生,2020-04-05 13:00:30,2k-3k,应届毕业生,本科,"周末双休，氛围轻松，师徒培养，转正机会
 
","【岗位职责】
 
1、负责帮助客户熟悉公司产品，驱动客户对产品的理解和充分使用；
 
2、深入理解客户业务目标，不断跟踪和反馈客户需求；
 
3、协调用户、产品经理和技术团队，建立产品优化反馈闭环，提升用户体验；
 
4、做好过程风险管理，对可能出现的各种风险进行识别和评估、风险防范策略的制定等，保证客户持续活跃；
 
5、定期通过电话或上门方式，进行客户回访、客户关怀，提升客户服务满意度，并持续评估和反馈服务效果。
 
 
【岗位要求】
 
1、本科及以上学历，有数学、经济学、统计学、市场营销、工商管理、传播学、软件工程、计算机科学等相关课程者加分；
 
2、细心踏实、具有同理心、乐于助人，愿意将具体事物抽象成模型，将想法与思考具象成现实功能/产品/文档的主观能动力与热忱；
 
3、对数据敏感、喜欢数据分析相关的事、聪明好学、双商在线；
 
4、熟悉SQL、Excel、R和Python中的一项或多项，加分；
 
5、有较强的学习能力、逻辑思维、沟通能力和执行力；"
20,北京图灵信服科技有限公司,北京,15-50人,软件开发 其他,大数据开发工程师,2020-04-05 18:27:05,11k-15k,3-5年,本科,"1.三年及以上工作经验；2.熟练掌握数据仓库、ETL的开发,有海量数据处理相关经验者优先。3.了解机器学习算法，例如聚类、回归、决策树等，有实际业务场景运用经验尤佳。4.熟悉Oracle，熟悉ETL设计过程、优化方案和技巧，精通PL/SQL或数据仓库ETL的设计和开发、任务调度的设计和优化。5.熟练掌握基于hadoop的大数据开发，理解hdfs、mapreduce的实现原理，熟练使用Java编写分布式程序；6.对海量数据进行分析，熟练运用Hive并能进行查询的性能优化。7.熟悉Linux的操作，对Linux系统进行基本的配置及应用程序的部署及调试。8.熟悉Linux的操作，对Linux系统进行基本的配置及应用程序的部署及调试。【此岗位外派至央视网-未来电视，投递请注意】【学历必须学信网可查！！全日",
21,北京奇艺世纪科技有限公司,北京,2000人以上,文娱丨内容,大数据开发工程师,2020-04-05 18:12:57,30k-50k,5-10年,本科,"1、资深/专家 + 大数据方向开发工程师/Java工程师；2、海量数据处理, 数据挖掘, 有能力就一定有属于你的舞台。","1、三年及以上工作经验，本科及以上；2、喜欢技术、自我驱动型强、有钻研到底的螺丝精神；3、善于沟通, 有自己的想法, 有优秀的化繁为简的抽象和逻辑思辨能力；4、有强悍的代码和架构设计能力, 语言偏向但不限于Java/Scala/Python；5、良好的Coding Style编程习惯；6、精通, 并深入了解过常见的大数据处理框架, 包括但不限于Hadoop, Spark, Flink等；7、有知识图谱项目经验的加分, 工作之外参与开源项目开发加分, github项目star加分, 有自己的技术博客并经常性总结遇到的技术问题加分。温馨提醒"
22,泰康健康产业投资控股有限公司,北京,2000人以上,"金融,医疗丨健康",健康科技中心--大数据分析师（算法）,2020-04-05 19:33:23,20k-27k,5-10年,本科,"1、基于数据分析，辅助业务管理团队科学决策，协助团队商业目标的达成；
2、构建业务分析体系，监控运行状况；针对重点问题深入分析，定位问题，提供解决问题的建议，编制分析报告；
3、将业务数据体系抽象成数据产品，提升数据产出的效率，优化数据使用方式，推动团队”数据驱动”的能力；
4、精通EXCEL, 熟悉VBA；精通 Python和R语言；熟练使用 MYSQL、SQLServer相关数据库等工具；熟练SPSS、STATISTIC、Eviews、SAS等数据分析软件中的一门
5、对于数据挖掘/机器学习有深入的了解，包括","线性回归，Logistic回归，决策树，随机森林，Gradient Boosting，聚类，时间序列，朴素Bayes，支持向量机，神经网络，主成分分析，马尔科夫链蒙特卡洛，非参数方法，生存分析，自然语言处理
6、对于具体的场景，运用数据分析，与大数据算法、数仓同学深度合作，解决业务的核心痛点和难点。
 
任职要求"
23,北京荣乾兴茂科技有限公司,北京,50-150人,"金融,数据服务",数据分析师,2020-04-05 09:39:12,10k-15k,应届毕业生,本科,,
24,启迪公交（北京）科技股份有限公司,北京,15-50人,"移动互联网,消费生活",大数据开发工程师,2020-04-05 17:04:24,20k-30k,3-5年,本科,,
25,神策网络科技（北京）有限公司,北京,150-500人,数据服务,数据分析师-北京,2020-04-05 14:56:52,15k-25k,5-10年,本科,"1、以帮助客户发现业务问题，发挥数据价值为导向，深入理解客户业务需求与痛点，确定客户业务问题与目标，并提供有效的数据解决方案；
2、从客户业务需求场景出发，指导或协助客户完成多维度指标体系的梳理和建设，并完成数据采集、管理、分析与应用全流程工作；
3、以提升客户满意度为基本，配合项目经理，完成客户培训，帮助客户实现数据驱动业务的落地与迭代；
4、以解决客户问题为目标，结合行业经验与方法论，提供咨询服务和专题分析报告；
5、总结梳理垂直领域标准化实施流程，并形成文档，提升内部数据工作效率；
6、梳理客户成功案例，形成行业指标均值，沉淀领域知识，形成知识库；
7、与产品、技术部门配合不断提升数据产品的易用性，形成产品改进文档；
 
","1、五年以上金融、新零售、互联网、咨询行业数据分析经验，本科及以上学历；
2、具备优秀的数据分析能力及业务感觉，有丰富的数据驱动业务的实战经验；
3、熟练使用统计分析工具，逻辑严谨，能够独立分析和解决问题；
4、具备优秀的沟通意识，良好的现场表达能力，能够独立负责和跟进项目；
5、具备极强的学习能力和自我驱动意识，能够发现问题并解决问题；
6、熟悉数据平台的整体搭建，熟练使用 SQL/R/Python/Excel 等工具；
7、积极主动，学习能力强，对大数据行业感兴趣。"
26,北京达佳互联信息技术有限公司,北京,2000人以上,文娱丨内容,数据分析师（流媒体方向）,2020-04-05 15:57:49,20k-40k,1-3年,本科,,
27,维恩贝特科技有限公司,北京,500-2000人,电商,大数据开发工程师,2020-04-05 15:50:19,15k-30k,3-5年,本科,"1、负责核心数据中台产品开发；
2、负责离线/实时数据计算的开发，维护；


","1、本科及以上学历，计算机等相关专业，3年以上大型互联网产品或分布式系统开发设计经验；
2、熟练掌握Java语言，熟悉Shell或Python等一种或几种脚本语言，熟悉Linux环境，掌握常见的数据结构和算法（必要条件）；
3、有Flink、Hive、Spark、Hbase、ES、Druid开发经验者优先；
4、有阿里云大数据平台开发经验优先，有OLAP，多维度数据分析经验优先；
5、热爱大数据和技术，学习能力强，认同数据价值，有面向业务的思维；
6、严谨的逻辑思维，善于合作喜欢有挑战性的工作；"
28,武汉斗鱼网络科技有限公司,北京,2000人以上,文娱丨内容,数据分析实习生 (MJ000055),2020-04-05 20:17:22,3k-6k,应届毕业生,本科,"1、收集、统计、分析行业及竞品动态及数据，完成行业、竞品观察报告；
2、负责部门其他统计、收集、协调型工作；
","本岗位为2021届实习岗位，每周至少到岗4天，连续实习3-6月。
1、热爱游戏和直播行业，熟悉市场内直播平台；
2、对数据有一定的敏锐性，具备一定的数据分析及处理能力；
3、优秀的文档能力，熟练掌握Excel、Word、PPT等办公软件；
4、逻辑性强，认真细心，富有责任感，具备较强的学习能力。"
29,便利蜂商贸有限公司,北京,2000人以上,消费生活,高级数据分析师,2020-04-04 17:21:40,25k-50k,3-5年,本科,,
30,上海淇毓信息科技有限公司,北京,500-2000人,金融,大数据开发工程师,2020-04-05 18:18:48,30k-40k,5-10年,本科,1.根据360金融业务和集团的海量数据，为风控、BI提供数据支持；2.对数据处理的需求场景进行抽象，形成自动化工具，提升工作效率；3.基于日常的需求场景，构建安全、高效、稳定的大数据平台，为业务提供更有效的数据支撑。,1.属性Linux操作系统，熟悉Shell编程语言；2.大数据处理经验丰富，熟悉hadoopmap/reduce编程；有Hbase、Spark、Storm的应用开发经验；3.熟悉其它分布式存储相关技术，包括HDFS，Hive、Redis、mongodb、Flume、Kafaka、Sqoop、Zookeeper、ElasticSearch等。具有以下经验者优先考虑
