,公司名,公司领域,公司人数,学历,最低工资,最高工资,工作年限,岗位职责,岗位要求
0,腾讯科技（深圳）有限公司,社交,['2000'],本科,25,50,"(3,5)","为腾讯新闻产品提供增长受众定向数据支持； 为用户增长智能运营系统提供基础数据挖掘支持，包括用户画像挖掘、素材挖掘等； 参与打造用户增长体系基础数据体系，包括离线数据建设以及在线服务设施和平台建设； 承担机器学习系统和算法的研发，为腾讯新闻提供增长算法策略支持。
","熟悉多项大数据处理/分析相关的工具/框架，e.g. Hadoop, Mapreduce, Hive, ElasticSearch，Storm, Spark, Flink etc； 强编码能力，生产环境快速解决问题能力，对新技术有强烈的学习热情； 能快速理解业务背景，对数据敏感，用数据说话，深信数据在驱动业务、支撑决策上的价值； 具有海量数据上的统计与聚类、分类经验者优先，具有用户画像项目实践经验者优先。 熟悉常见的开源组件，参与过高性能在线服务研发者优先； 至少能熟练使用Python,R,SAS，SPSS中一种工具，进行数据分析和建模;熟悉hadoop、spark等常用的大数据处理平台，熟悉python、C++、scala等至少一门编程语言； 有大规模海量数据机器学习/数据挖掘/计算广告/搜索引擎相关经验者优先； 具备良好的沟通和表达能力，有较好的产品意识者优先； 熟悉主流深度学习编程框架（TensorFlow/Caffe/MXNet），熟悉其底层架构和实现机制，熟悉深度学习算法（CNN/RNN/LSTM等）优先"
1,北京三快在线科技有限公司,消费生活,['2000'],本科,25,50,"(3,5)","Java、Scala、Python等，能熟练使用SQL进行数据处理；
5.思维敏捷，动手能力强；责任心强，荣誉感强；自我驱动，乐于学习与分享；
6.有较强的逻辑思维能力，善于分析、归纳、解决问题；
7.善于交流，具备优秀的团队协同能力和积极主动的工作态度；
8.能够快速掌握工作领域的业务和技术，能承受必要的工作压力。
具备以下者优先
1.在知识图谱、画像挖掘、社交网络等领域有实际项目，清楚项目流程，产出有价值结果的经验者优先；
2.有使用Tensorflow/DMLC/sparkML等进行实际项目的经验者优先。
岗位亮点
1.跟随行业和公司一起探索人工智能在人力资源领域的落地
2.公司级项目，新领域，支持力度大，挑战性大
3.有特色工作机制，包括Mentor机制、Paper Readig机制、方法论分享机制、专利",
2,央视频融媒体发展有限公司,文娱丨内容,"['150', '500']",本科,15,20,"(1,3)","1、运用各类分析方法对业务、日志数据进行分析与抽象，制定有效的识别策略和算法；
2、建立完善的异常指标监控体系，快速发现及定位问题；
3、基于对用户理解和大量数据特征，参与精准营销、个性化推荐等模型建设和领域研究；
4、完成各类策略实现，并完善与优化。
","1、全日制统招本科以上学历，计算机相关专业；
2、1年以上相关工作经验；
3、熟悉Python；
4、性格开朗，知识面广，思路开阔，创新能力强，致力于技术创新。"
3,微梦创科网络科技（中国）有限公司,文娱丨内容,['2000'],本科,20,40,"(3,5)","1.应用机器学习领域前沿方法为微博用户提供更好的信息和服务

2.挖掘海量社交搜索行为数据，不断优化业界领先的搜索内容推荐系统

3.负责研发创新搜索产品，用新产品提升用户搜索体验

4.通过对技术的不断完善推动产品的深化，使技术成为公司成长的驱动，体现技术价值

","1.本科或本科以上学历，计算机相关专业者优先

2.具有三年以上相关工作经验

3.有强烈的上进心和求知欲，善于学习新事物，渴望用技术改变未来

4.优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情

5.具有良好的沟通能力和团队合作精神

6.精通Python/C/C++等语言，在数据挖掘、机器学习领域中，具备将算法应用于实际生产系统的经验和能力

7.熟练应用hadoop等分布式大数据处理系统者优先

8.拥有大规模推荐系统的算法优化、系统构建、平台搭建经验者优先"
4,北京达佳互联信息技术有限公司,文娱丨内容,['2000'],本科,20,40,"(3,5)",,
5,北京达佳互联信息技术有限公司,文娱丨内容,['2000'],本科,30,50,"(3,5)",,
6,北京三快在线科技有限公司,消费生活,['2000'],本科,20,35,"(1,3)","参与住宿、门票业务的智能化建设，通过数据挖掘、算法来提升业务各个环节效率。具体工作包括但不限于销量预测、智能定价、热点挖掘、经营诊断等；
与业务、产品团队密切合作，深入理解业务痛点，探索更优解决方式；
和团队一起持续学习、成长，更好的助力业务发展。

岗位","计算机、数学、统计相关专业本科以上学历，相关工作经验1年以上；
具有扎实的计算机基础，熟悉常用的数据挖掘技术，如决策树、聚类、逻辑回归、神经网络等；
熟悉Hadoop、Spark、Hive等大数据处理工具，有海量数据挖掘项目经验者优先；
良好的沟通能力和合作精神，逻辑思维能力优秀，热爱算法，热爱思考。"
7,北京达佳互联信息技术有限公司,文娱丨内容,['2000'],本科,20,40,"(3,5)",,
8,北京三快在线科技有限公司,消费生活,['2000'],硕士,30,60,"(3,5)"," 负责小象新零售智能算法，通过算法来提升新零售各个环节效率。具体工作包括但不限于销量预测、智能营销、智能定价、智能画像等。
 指导中低阶算法工程师，关注他们的成长并协助解决遇到的问题。
 善于从业务中抽象问题，并选择合适的算法解决问题，技术难题攻关。
 与业务、产品团队密切合作，支撑支持新零售业务。

",1）岗位基本要求
9,神策网络科技（北京）有限公司,数据服务,"['150', '500']",本科,20,40,"(1,3)","1. 负责神策分析、推荐、用户画像、智能运营等产品中的机器学习算法的研究、实现和优化
2. 针对机器学习在实际业务场景落地中的问题，探索高效准确的解决方案，并持续跟进效果和业务价值
3. 从具体市场需求出发，将机器学习算法应用到产品中，以帮助解决互联网、银行、券商、零售、广电、融合媒体等广泛领域中的机器学习问题，为客户创造业务价值
4. 跟踪业界和学术界最新进展，并且能够快速应用到业务中。
","1. 良好的编程能力和规范，熟悉 python / java / linux
2. 有一年以上的机器学习项目开发经验，熟悉一个或多个常见的神经网络开源工具库，例如"
10,生仝智能科技（北京）有限公司,移动互联网,"['15', '50']",硕士,20,40,"(3,5)","目前算法团队初步组建完成，以后招的人要求提高，各方面要求都会多；
人工智能算法工程师2-医学图像
","1，参与上市公司新组建团队起步人工智能医药病理项目；
2，负责分析医药病理图像，设计算法模型；
3，负责产品优化，持续改进算法；
细分方向1"
11,北京每日优鲜电子商务有限公司,"移动互联网,电商",['2000'],硕士,30,60,"(5,10)",,
12,北京图灵信服科技有限公司,软件开发 其他,"['15', '50']",本科,11,15,"(3,5)","1.三年及以上工作经验；2.熟练掌握数据仓库、ETL的开发,有海量数据处理相关经验者优先。3.了解机器学习算法，例如聚类、回归、决策树等，有实际业务场景运用经验尤佳。4.熟悉Oracle，熟悉ETL设计过程、优化方案和技巧，精通PL/SQL或数据仓库ETL的设计和开发、任务调度的设计和优化。5.熟练掌握基于hadoop的大数据开发，理解hdfs、mapreduce的实现原理，熟练使用Java编写分布式程序；6.对海量数据进行分析，熟练运用Hive并能进行查询的性能优化。7.熟悉Linux的操作，对Linux系统进行基本的配置及应用程序的部署及调试。8.熟悉Linux的操作，对Linux系统进行基本的配置及应用程序的部署及调试。【此岗位外派至央视网-未来电视，投递请注意】【学历必须学信网可查！！全日",
13,北京字节跳动科技有限公司,文娱丨内容,['2000'],本科,20,40,"(3,5)","1、负责头条国际化业务基础数据挖掘核心技术研究和开发； 
2、海量数据上的数据挖掘、特征工程，研究网页、媒体资源的形态、特点和规律；
3、为头条国际化推荐系统，提供核心算法和基础特征，对推荐效果做出合理地调整或改进； 
4、主要","负责头条国际化业务所覆盖到的网页资源、媒体资源、站点价值等数据分析和特征建模工作； 
 负责国际互联网资源特征数据挖掘，包括页面特征、优质内容增长、资源变化趋势等； 
 网页资源、媒体资源、作者、站点的价值判断 ，以及文本特征与挖掘；
 数据挖掘与机器学习的算法应用与优化等 。

职位要求"
